,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,1,1,1,1,2,2,2,2,3,3,3,3,NAO_1,NAO_1,NAO_1,NAO_2,NAO_2,NAO_2,NAO_3,NAO_3,NAO_3
,,"AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
12,0.100000,0.000043,-0.000039,0.000157,1.000000,0.286922,0.552890,-0.837657,0.000028,0.227643,0.554411,-0.781231,0.947995,0.288444,0.549758,-0.879055,0.935623,0.344679,0.554502,-0.852685,0.947246,0.227647,0.554412,-0.781220,0.288465,0.549758,-0.879070,0.344655,0.554501,-0.852681
13,0.108333,-0.000107,-0.000051,0.000154,1.000000,0.286886,0.552907,-0.837661,0.000027,0.227606,0.554445,-0.781237,0.936506,0.288409,0.549762,-0.879058,0.920797,0.344643,0.554513,-0.852689,0.980684,0.227598,0.554446,-0.781214,0.288430,0.549761,-0.879089,0.344625,0.554513,-0.852678
14,0.116667,-0.000032,0.000046,0.000358,1.000000,0.286900,0.552900,-0.837654,0.000051,0.227630,0.554406,-0.781219,0.890745,0.288416,0.549763,-0.879052,0.955181,0.344654,0.554533,-0.852693,0.846760,0.227662,0.554407,-0.781239,0.288441,0.549762,-0.879076,0.344597,0.554534,-0.852649
15,0.125000,-0.000119,-0.000297,-0.000094,1.000000,0.286917,0.552890,-0.837655,0.000059,0.227609,0.554459,-0.781260,0.871299,0.288459,0.549744,-0.879051,0.865230,0.344682,0.554468,-0.852654,0.908607,0.227591,0.554458,-0.781213,0.288494,0.549743,-0.879072,0.344667,0.554465,-0.852683
16,0.133333,-0.000057,0.000007,0.000469,1.000000,0.286901,0.552900,-0.837653,0.000054,0.227626,0.554395,-0.781222,0.904476,0.288421,0.549761,-0.879051,0.928419,0.344655,0.554545,-0.852687,0.842178,0.227656,0.554397,-0.781232,0.288451,0.549762,-0.879065,0.344596,0.554543,-0.852668
17,0.141667,0.000020,0.000145,0.000220,1.000000,0.286918,0.552889,-0.837658,0.000050,0.227659,0.554405,-0.781210,0.862634,0.288425,0.549755,-0.879056,0.940295,0.344669,0.554507,-0.852707,0.896850,0.227691,0.554405,-0.781246,0.288425,0.549753,-0.879056,0.344638,0.554507,-0.852672
18,0.150000,0.000040,-0.000097,0.000053,1.000000,0.286926,0.552878,-0.837667,0.000019,0.227641,0.554412,-0.781247,0.960542,0.288452,0.549746,-0.879064,0.955062,0.344685,0.554478,-0.852688,0.972168,0.227642,0.554413,-0.781237,0.288466,0.549745,-0.879079,0.344670,0.554477,-0.852682
19,0.158333,0.000134,-0.000014,-0.000096,1.000000,0.286937,0.552874,-0.837663,0.000019,0.227661,0.554414,-0.781234,0.949656,0.288455,0.549748,-0.879062,0.984231,0.344694,0.554458,-0.852694,0.954287,0.227674,0.554414,-0.781247,0.288459,0.549747,-0.879068,0.344679,0.554459,-0.852675
20,0.166667,-0.000122,-0.000133,0.000111,1.000000,0.286916,0.552888,-0.837661,0.000017,0.227627,0.554433,-0.781246,0.950312,0.288446,0.549742,-0.879057,0.955609,0.344676,0.554489,-0.852679,0.994211,0.227621,0.554437,-0.781233,0.288457,0.549741,-0.879085,0.344666,0.554490,-0.852661
21,0.175000,0.000000,-0.000157,-0.000029,1.000000,0.286904,0.552901,-0.837653,0.000010,0.227612,0.554449,-0.781241,0.974698,0.288435,0.549765,-0.879050,0.990776,0.344665,0.554489,-0.852667,0.975905,0.227607,0.554446,-0.781232,0.288435,0.549767,-0.879044,0.344670,0.554492,-0.852681
